"","stats","clusters","values"
"179","sackin","cluster2",1.00390625
"180","sackin","cluster2",0.957929796365887
"181","sackin","cluster2",1.35587255396961
"182","sackin","cluster2",1.23580004582371
"183","sackin","cluster2",1.06348634202876
"184","sackin","cluster2",1.02887462978288
"185","sackin","cluster2",0.972739753821303
"186","sackin","cluster2",0.959868488069617
"187","sackin","cluster2",1.01200062116044
"188","sackin","cluster2",0.915885808679653
"189","sackin","cluster2",1.0856348297102
"190","sackin","cluster2",0.967812084639776
"191","sackin","cluster2",1.08784361229532
"192","sackin","cluster2",1.11574074074074
"193","sackin","cluster2",1.00361038072366
"194","sackin","cluster2",1.00406207828823
"195","sackin","cluster2",1.10822921140572
"196","sackin","cluster2",1.14833816110449
"197","sackin","cluster2",0.939705985758447
"198","sackin","cluster2",1.07151675122144
"199","sackin","cluster2",0.962112703991611
"200","sackin","cluster2",0.902784711286316
"201","sackin","cluster2",1.20293957093439
"202","sackin","cluster2",1.15279739414718
"203","sackin","cluster2",1.38997068980555
"204","sackin","cluster2",1.19229484284422
"205","sackin","cluster2",1.09830706059299
"206","sackin","cluster2",0.870616531736215
"207","sackin","cluster2",1.16642657995191
"208","sackin","cluster2",1.12374594536537
"209","sackin","cluster2",0.930587616069743
"210","sackin","cluster2",0.919238815542512
"211","sackin","cluster2",1.15931934053277
"212","sackin","cluster2",1.18503717655266
"213","sackin","cluster2",0.995
"214","sackin","cluster2",1.05039325842941
"215","sackin","cluster2",0.991236620016503
"216","sackin","cluster2",0.888693767627372
"217","sackin","cluster2",0.794482205501461
"218","sackin","cluster2",0.841
"219","sackin","cluster2",1.128
"220","sackin","cluster2",0.792128127314648
"221","sackin","cluster2",0.946260755959579
"222","sackin","cluster2",0.885549335776332
"223","sackin","cluster2",1.14898505937487
"224","sackin","cluster2",0.970142500145332
"225","sackin","cluster2",0.907098063812097
"226","sackin","cluster2",0.948208689715919
"227","sackin","cluster2",0.922916591189883
"228","sackin","cluster2",0.921850824696702
"229","sackin","cluster2",0.939705985758447
"230","sackin","cluster2",1.0323402307592
"231","sackin","cluster2",1.01382404570307
"232","sackin","cluster2",1.10591500577576
"233","sackin","cluster2",0.887750753123672
"234","sackin","cluster2",0.942088003466327
"235","sackin","cluster2",1.05676771021115
"236","sackin","cluster2",0.968979612795399
"237","sackin","cluster2",0.92387438649244
"238","sackin","cluster2",0.839648477909857
"239","sackin","cluster2",0.996236552347452
"240","sackin","cluster2",0.9276955215459
"241","sackin","cluster2",1.05702172753166
"242","sackin","cluster2",0.944470021174206
