"","tree","Location","Freq","cluster"
"188","Escherichia_coli_Shigella40741.png","Paraguay",1,"cluster1"
"189","Escherichia_coli_Shigella40741.png","Russia",1,"cluster1"
"190","Escherichia_coli_Shigella40741.png","South Korea",1,"cluster1"
"191","Escherichia_coli_Shigella40741.png","Thailand",5,"cluster1"
"192","Escherichia_coli_Shigella40741.png","United Kingdom",3,"cluster1"
"193","Escherichia_coli_Shigella40741.png","USA",24,"cluster1"
"194","Escherichia_coli_Shigella40741.png","Vietnam",2,"cluster1"
"195","Escherichia_coli_Shigella40820.png","Australia",1,"cluster1"
"196","Escherichia_coli_Shigella40820.png","Bangladesh",1,"cluster1"
"197","Escherichia_coli_Shigella40820.png","Brazil",2,"cluster1"
"198","Escherichia_coli_Shigella40820.png","China",22,"cluster1"
"199","Escherichia_coli_Shigella40820.png","France",2,"cluster1"
"200","Escherichia_coli_Shigella40820.png","Germany",2,"cluster1"
"201","Escherichia_coli_Shigella40820.png","Japan",2,"cluster1"
"202","Escherichia_coli_Shigella40820.png","Lebanon",1,"cluster1"
"203","Escherichia_coli_Shigella40820.png","Myanmar",1,"cluster1"
"204","Escherichia_coli_Shigella40820.png","Netherlands",17,"cluster1"
"205","Escherichia_coli_Shigella40820.png","NULL",21,"cluster1"
"206","Escherichia_coli_Shigella40820.png","Singapore",2,"cluster1"
"207","Escherichia_coli_Shigella40820.png","Thailand",5,"cluster1"
"208","Escherichia_coli_Shigella40820.png","United Kingdom",3,"cluster1"
"209","Escherichia_coli_Shigella40820.png","USA",13,"cluster1"
"210","Escherichia_coli_Shigella40820.png","Vietnam",1,"cluster1"
"211","Escherichia_coli_Shigella41612.png","Austria",1,"cluster1"
"212","Escherichia_coli_Shigella41612.png","Canada",1,"cluster1"
"213","Escherichia_coli_Shigella41612.png","France",1,"cluster1"
"214","Escherichia_coli_Shigella41612.png","Germany",2,"cluster1"
"215","Escherichia_coli_Shigella41612.png","India",2,"cluster1"
"216","Escherichia_coli_Shigella41612.png","Mali",2,"cluster1"
"217","Escherichia_coli_Shigella41612.png","Mozambique",2,"cluster1"
"218","Escherichia_coli_Shigella41612.png","Netherlands",10,"cluster1"
"219","Escherichia_coli_Shigella41612.png","NULL",12,"cluster1"
"220","Escherichia_coli_Shigella41612.png","Saudi Arabia",1,"cluster1"
"221","Escherichia_coli_Shigella41612.png","Sri Lanka",3,"cluster1"
"222","Escherichia_coli_Shigella41612.png","Tanzania",4,"cluster1"
"223","Escherichia_coli_Shigella41612.png","United Kingdom",19,"cluster1"
"224","Escherichia_coli_Shigella41612.png","USA",2,"cluster1"
"225","Escherichia_coli_Shigella41968.png","Argentina",1,"cluster1"
"226","Escherichia_coli_Shigella41968.png","Australia",2,"cluster1"
"227","Escherichia_coli_Shigella41968.png","Canada",1,"cluster1"
"228","Escherichia_coli_Shigella41968.png","China",2,"cluster1"
"229","Escherichia_coli_Shigella41968.png","France",1,"cluster1"
"230","Escherichia_coli_Shigella41968.png","Netherlands",6,"cluster1"
"231","Escherichia_coli_Shigella41968.png","Norway",1,"cluster1"
"232","Escherichia_coli_Shigella41968.png","NULL",2,"cluster1"
"233","Escherichia_coli_Shigella41968.png","Spain",1,"cluster1"
"234","Escherichia_coli_Shigella41968.png","Thailand",1,"cluster1"
"235","Escherichia_coli_Shigella41968.png","United Kingdom",3,"cluster1"
"236","Escherichia_coli_Shigella41968.png","USA",25,"cluster1"
"237","Escherichia_coli_Shigella41968.png","Zambia",1,"cluster1"
"238","Escherichia_coli_Shigella42063.png","Argentina",1,"cluster1"
"239","Escherichia_coli_Shigella42063.png","Australia",1,"cluster1"
"240","Escherichia_coli_Shigella42063.png","Brazil",3,"cluster1"
"241","Escherichia_coli_Shigella42063.png","Canada",1,"cluster1"
"242","Escherichia_coli_Shigella42063.png","France",1,"cluster1"
"243","Escherichia_coli_Shigella42063.png","Netherlands",1,"cluster1"
"244","Escherichia_coli_Shigella42063.png","Peru",1,"cluster1"
"245","Escherichia_coli_Shigella42063.png","United Kingdom",11,"cluster1"
"246","Escherichia_coli_Shigella42063.png","USA",18,"cluster1"
"247","Escherichia_coli_Shigella42063.png","Vietnam",1,"cluster1"
"248","Escherichia_coli_Shigella42510.png","Australia",5,"cluster1"
"249","Escherichia_coli_Shigella42510.png","China",1,"cluster1"
"250","Escherichia_coli_Shigella42510.png","Egypt",1,"cluster1"
"251","Escherichia_coli_Shigella42510.png","Netherlands",3,"cluster1"
"252","Escherichia_coli_Shigella42510.png","NULL",7,"cluster1"
"253","Escherichia_coli_Shigella42510.png","Pakistan",1,"cluster1"
"254","Escherichia_coli_Shigella42510.png","Sweden",1,"cluster1"
"255","Escherichia_coli_Shigella42510.png","United Kingdom",2,"cluster1"
"256","Escherichia_coli_Shigella42510.png","USA",24,"cluster1"
"257","Escherichia_coli_Shigella42636.png","Australia",1,"cluster1"
"258","Escherichia_coli_Shigella42636.png","Austria",3,"cluster1"
"259","Escherichia_coli_Shigella42636.png","Denmark",16,"cluster1"
"260","Escherichia_coli_Shigella42636.png","Germany",2,"cluster1"
"261","Escherichia_coli_Shigella42636.png","Japan",1,"cluster1"
"262","Escherichia_coli_Shigella42636.png","Netherlands",2,"cluster1"
"263","Escherichia_coli_Shigella42636.png","NULL",24,"cluster1"
"264","Escherichia_coli_Shigella42636.png","United Kingdom",11,"cluster1"
"265","Escherichia_coli_Shigella42636.png","USA",22,"cluster1"
"266","Escherichia_coli_Shigella43182.png","Australia",8,"cluster1"
"267","Escherichia_coli_Shigella43182.png","Canada",1,"cluster1"
"268","Escherichia_coli_Shigella43182.png","Denmark",1,"cluster1"
"269","Escherichia_coli_Shigella43182.png","Ecuador",1,"cluster1"
"270","Escherichia_coli_Shigella43182.png","India",3,"cluster1"
"271","Escherichia_coli_Shigella43182.png","Netherlands",3,"cluster1"
"272","Escherichia_coli_Shigella43182.png","NULL",4,"cluster1"
"273","Escherichia_coli_Shigella43182.png","Paraguay",1,"cluster1"
"274","Escherichia_coli_Shigella43182.png","Spain",1,"cluster1"
"275","Escherichia_coli_Shigella43182.png","Sweden",1,"cluster1"
"276","Escherichia_coli_Shigella43182.png","United Kingdom",2,"cluster1"
"277","Escherichia_coli_Shigella43182.png","USA",16,"cluster1"
"278","Escherichia_coli_Shigella44885.png","NULL",1,"cluster1"
"279","Escherichia_coli_Shigella44885.png","United Kingdom",59,"cluster1"
"280","Escherichia_coli_Shigella44885.png","USA",1,"cluster1"
"281","Escherichia_coli_Shigella45075.png","Canada",8,"cluster1"
"282","Escherichia_coli_Shigella45075.png","Denmark",1,"cluster1"
"283","Escherichia_coli_Shigella45075.png","NULL",10,"cluster1"
"284","Escherichia_coli_Shigella45075.png","United Kingdom",5,"cluster1"
"285","Escherichia_coli_Shigella45075.png","USA",47,"cluster1"
"286","Escherichia_coli_Shigella45738.png","Austria",1,"cluster1"
"287","Escherichia_coli_Shigella45738.png","Canada",1,"cluster1"
"288","Escherichia_coli_Shigella45738.png","NULL",3,"cluster1"
"289","Escherichia_coli_Shigella45738.png","United Kingdom",9,"cluster1"
"290","Escherichia_coli_Shigella45738.png","USA",31,"cluster1"
"291","Escherichia_coli_Shigella46925.png","Dominican Republic",1,"cluster1"
"292","Escherichia_coli_Shigella46925.png","France",4,"cluster1"
"293","Escherichia_coli_Shigella46925.png","NULL",6,"cluster1"
"294","Escherichia_coli_Shigella46925.png","Sweden",3,"cluster1"
"295","Escherichia_coli_Shigella46925.png","United Kingdom",3,"cluster1"
"296","Escherichia_coli_Shigella46925.png","USA",23,"cluster1"
"297","Escherichia_coli_Shigella47098.png","Argentina",1,"cluster1"
"298","Escherichia_coli_Shigella47098.png","Costa Rica",1,"cluster1"
"299","Escherichia_coli_Shigella47098.png","France",16,"cluster1"
"300","Escherichia_coli_Shigella47098.png","Israel",9,"cluster1"
"301","Escherichia_coli_Shigella47098.png","South Korea",2,"cluster1"
"302","Escherichia_coli_Shigella47098.png","United Kingdom",15,"cluster1"
"303","Escherichia_coli_Shigella47098.png","USA",40,"cluster1"
"304","Escherichia_coli_Shigella47452.png","Argentina",2,"cluster1"
"305","Escherichia_coli_Shigella47452.png","Brazil",1,"cluster1"
"306","Escherichia_coli_Shigella47452.png","Burkina Faso",1,"cluster1"
"307","Escherichia_coli_Shigella47452.png","Chile",1,"cluster1"
"308","Escherichia_coli_Shigella47452.png","Costa Rica",1,"cluster1"
"309","Escherichia_coli_Shigella47452.png","Egypt",1,"cluster1"
"310","Escherichia_coli_Shigella47452.png","France",7,"cluster1"
"311","Escherichia_coli_Shigella47452.png","Madagascar",1,"cluster1"
"312","Escherichia_coli_Shigella47452.png","Morocco",1,"cluster1"
"313","Escherichia_coli_Shigella47452.png","Nigeria",1,"cluster1"
"314","Escherichia_coli_Shigella47452.png","Pakistan",1,"cluster1"
"315","Escherichia_coli_Shigella47452.png","Paraguay",3,"cluster1"
"316","Escherichia_coli_Shigella47452.png","Senegal",1,"cluster1"
"317","Escherichia_coli_Shigella47452.png","Somalia",1,"cluster1"
"318","Escherichia_coli_Shigella47452.png","South Korea",2,"cluster1"
"319","Escherichia_coli_Shigella47452.png","Sri Lanka",1,"cluster1"
"320","Escherichia_coli_Shigella47452.png","United Kingdom",47,"cluster1"
"321","Escherichia_coli_Shigella47452.png","USA",19,"cluster1"
"322","Escherichia_coli_Shigella47452.png","Uzbekistan",1,"cluster1"
"323","Escherichia_coli_Shigella47452.png","Vietnam",2,"cluster1"
"324","Escherichia_coli_Shigella48330.png","Bangladesh",1,"cluster1"
"325","Escherichia_coli_Shigella48330.png","France",5,"cluster1"
"326","Escherichia_coli_Shigella48330.png","United Kingdom",50,"cluster1"
"327","Escherichia_coli_Shigella48330.png","USA",2,"cluster1"
"328","Escherichia_coli_Shigella48525.png","China",1,"cluster1"
"329","Escherichia_coli_Shigella48525.png","France",5,"cluster1"
"330","Escherichia_coli_Shigella48525.png","India",4,"cluster1"
"331","Escherichia_coli_Shigella48525.png","United Kingdom",62,"cluster1"
"332","Escherichia_coli_Shigella48525.png","USA",9,"cluster1"
"333","Escherichia_coli_Shigella48704.png","United Kingdom",65,"cluster1"
"334","Escherichia_coli_Shigella48704.png","USA",5,"cluster1"
"335","Escherichia_coli_Shigella49146.png","France",1,"cluster1"
"336","Escherichia_coli_Shigella49146.png","India",1,"cluster1"
"337","Escherichia_coli_Shigella49146.png","Netherlands",3,"cluster1"
"338","Escherichia_coli_Shigella49146.png","NULL",3,"cluster1"
"339","Escherichia_coli_Shigella49146.png","Slovakia",1,"cluster1"
"340","Escherichia_coli_Shigella49146.png","Switzerland",2,"cluster1"
"341","Escherichia_coli_Shigella49146.png","Tanzania",1,"cluster1"
"342","Escherichia_coli_Shigella49146.png","United Kingdom",2,"cluster1"
"343","Escherichia_coli_Shigella49146.png","USA",38,"cluster1"
"344","Escherichia_coli_Shigella51397.png","Bangladesh",1,"cluster1"
"345","Escherichia_coli_Shigella51397.png","China",3,"cluster1"
"346","Escherichia_coli_Shigella51397.png","Denmark",2,"cluster1"
"347","Escherichia_coli_Shigella51397.png","France",1,"cluster1"
"348","Escherichia_coli_Shigella51397.png","Germany",1,"cluster1"
"349","Escherichia_coli_Shigella51397.png","Mali",3,"cluster1"
